,hotel_name,hotel_type,hotel_address,hotel_area,hotel_lat,hotel_lon,hotel_price($)
74,APA Hotel Hatchobori Shintomicho,Hotel,"1-17-8, Shintomi, Chuo-ku, Tokyo, Tokyo, 104-0041, Japan",Chuo,35.671799,139.775146,38
75,APA Hotel Nihombashi Bakurocho-Ekimae,Hotel,"1-6-6 Nihonbashi Bakucho Chuo-ku, Tokyo, Tokyo, 103-0002, Japan",Nihonbashi,35.693149,139.782344,38
76,Hotel MyStays Kamata,Hotel,"5-46-5, Kamata, Ota-ku, Tokyo, Tokyo-to, 144-0052, Japan",Kamata,35.559951,139.715709,31
77,Centurion Hotel Ikebukuro,Hotel,"1-8-9 Higashi Ikebukuro, Toshima, Tokyo, Tokyo-to, 170-0013, Japan",Toshima,35.731773,139.714647,36
78,Tokyu Stay Tsukiji,Hotel,"Tsukiji 4-11-5, Chuo-ku, Tokyo, Tokyo-to, 104-0045, Japan",Tsukiji,35.665733,139.770954,56
79,APA Hotel Shinjuku Gyoen-mae,Hotel,"2-2-8 Shinjuku, Shinjuku, Tokyo, Tokyo-to, 160-0022, Japan",2-Chome Shinjuku,35.688911,139.708909,38
80,MUSTARD HOTEL ASAKUSA 1,Hotel,"2-13-1 Kaminarimon, Tokyo, Tokyo, 1110034, Japan",Kaminarimon,35.710076,139.795589,20
81,Mitsui Garden Hotel Gotanda,Hotel,"2-2-6, Higashi-Gotanda, Shingawa-ku, Tokyo, Tokyo, 141-0022, Japan",Higashigotanda,35.625021,139.725156,96
82,Hotel LiVEMAX Shinjuku-East,Hotel,"6-27-49 Shinjuku, Tokyo, Tokyo, 160-0022, Japan",Shinjuku,35.697653,139.709582,25
83,Cerulean Tower Tokyu Hotel,Hotel,"26-1 Sakuragaoka-cho, Shibuya-ku, Tokyo, Tokyo-to, 150-8512, Japan",Sakuragaokacho,35.65677,139.699614,254
84,TSUKI,Hotel,"1 Chome-9-4 Tsukiji, Tokyo, Tokyo, 104-0045, Japan",Tsukiji,35.669231,139.771668,102
85,Millennium Mitsui Garden Hotel Tokyo,Hotel,"5-11-1 Ginza, Chuo-ku, Tokyo, Tokyo-to, 104-0061, Japan",Ginza,35.669957,139.766347,140
86,MusBee Tokyo Hamamatsucho,Hotel,"1-16-11 Hamamatsucho, Tokyo, 105-0013, Japan",Hamamatsucho,35.658109,139.756441,32
87,APA Hotel Higashi Shinjuku Kabukicho Nishi,Hotel,"2-31-17, Kabukicho, Shinjuku-ku, Tokyo, Tokyo, 160-0021, Japan",Shinjuku,35.697554,139.703745,38
88,the b tokyo suidobashi,Hotel,"1-25-27 Hongo, Bunkyo-ku, Tokyo, Tokyo-to, 113-0033, Japan",Suidobashi,35.70523,139.75676,43
89,Condo HotelHotel MyStays Higashi-Ikebukuro,Apart-hotel,"4-39-13, Higashiikebukuro, Toshima-ku, Tokyo, Tokyo-to, 170-0013, Japan",Higashiikebukuro,35.729609,139.724131,36
90,APA Hotel Ikebukuro-Eki-Kitaguchi,Hotel,"2-48-7, Ikebukuro, Toshima-ku, Tokyo, Tokyo-to, 171-0014, Japan",Ikebukuro,35.733837,139.711276,38
91,Hotel MyStays Gotanda,Hotel,"2-5-4, Higashigotanda, Shinagawa-ku, Tokyo, Tokyo-to, 141-0022, Japan",Higashigotanda,35.625489,139.728412,44
92,ONSEN RYOKAN YUEN SHINJUKU,Hotel,"5-3-18 Shinjuku, Tokyo, Tokyo, 160-0022, Japan",Shinjuku,35.692884,139.711362,97
93,ibis Tokyo Shinjuku,Hotel,"7-10-5 Nishi-Shinjuku, Shinjuku-ku, Tokyo, Tokyo-to, 160-0023, Japan",Nishi-Shinjuku,35.693668,139.698282,68
94,Henn na Hotel Tokyo Asakusa Tawaramachi,Hotel,"3-chome-19-8 Kotobuki, Tokyo, Tokyo, 111-0042, Japan",Taito,35.708157,139.791178,43
95,HOTEL UNIZO Tokyo Ginza-nanachome,Hotel,"7-10-9, Ginza, Chuo, Tokyo, Tokyo-to, 104-0061, Japan",Ginza,35.668225,139.763164,51
96,Tmark City Hotel Tokyo Omori,Hotel,"Omorihoncho 1-2-10, Tokyo, Tokyo, 1430011, Japan",Ota,35.587236,139.736128,50
97,HOTEL MYSTAYS PREMIER Hamamatsucho,Hotel,"1-8-5 Hamamatsucho, Tokyo, Tokyo-to, 105-0013, Japan",Hamamatsucho,35.65916,139.756562,69
98,the b tokyo shimbashi,Hotel,"1-17-13 Nishi-Shinbashi, Minato-ku, Tokyo, Tokyo, 105-0003, Japan",Nishishinbashi,35.667534,139.753432,47
99,Sotetsu Fresa Inn Tokyo-Kinshicho,Hotel,"2-18-7 Kotobashi, Sumida-ku, Tokyo, Tokyo, 130-0022, Japan",Sumida,35.695856,139.811699,45
100,remm Tokyo Kyobashi,Hotel,"2 Chome-6 Kyobashi, Chuo Ward, Tokyo, Tokyo, 104-0031, Japan",Chuo,35.676965,139.770298,108
101,APA Hotel Shinjuku Kabukicho Chuo,Hotel,"2-26-5, Kabukicho, Shinjuku-ku, Tokyo, Tokyo, 160-0021, Japan",Shinjuku,35.69557,139.702835,38
102,Ginza Capital Hotel Akane,Hotel,"3-1-5 Tsukiji Chuo-ku, Tokyo, Tokyo-to, 104-0045, Japan",Tsukiji,35.669555,139.774467,41
103,APA Hotel Shintomicho-Ekikita,Hotel,"1-12-11 Shintomi, Chuo-ku, Tokyo, Tokyo, 104-0041, Japan",Chuo,35.673215,139.774401,38
104,KEIKYU EX INN KEIKYU KAWASAKI-STATION,Hotel,"1-3-1 Isago, Kawasaki-ku, Kawasaki, Kanagawa, 210-0006, Japan",Kawasaki,35.53222,139.70054,45
105,Hotel Wing International Shinjuku,Hotel,"1-21-7 Kabukicho, Shinjuku-ku, Tokyo, Tokyo-to, 160-0021, Japan",Shinjuku,35.695524,139.701062,47
106,Hotel Villa Fontaine Grand Tokyo-Tamachi,Hotel,"Mita Twin Building East Wing, 4-2-8 Shibaura, Minato-ku, Tokyo, Tokyo-to, 108-0023, Japan",Tamachi,35.642874,139.745316,69
107,Asakusa View Hotel,Hotel,"3-17-1 Nishiasakusa, Taito, Tokyo, Tokyo-to, 111-8765, Japan",Nishiasakusa,35.71537,139.792182,81
108,HOTEL SUNROUTE ASAKUSA,Hotel,"1-8-5 Kaminarimon, Taito, Tokyo, Tokyo, 111-0034, Japan",Kaminarimon,35.710699,139.792048,45
109,Hotel Monterey Ginza,Hotel,"2-10-2 Ginza, Chuo-Ku, Tokyo, Tokyo-to, 104-0061, Japan",Ginza,35.672854,139.769116,59
110,HOTEL MYSTAYS Ueno East,Hotel,"5-5-6 Higashiueno, Taito-ku, Tokyo, Tokyo-to, 110-0015, Japan",Higashiueno,35.71243,139.78202,37
111,Shinagawa Prince Hotel,Hotel,"4-10-30 Takanawa Minato-ku, Tokyo, Tokyo-to, 108-8611, Japan",Shinagawa,35.627961,139.736711,110
112,APA Hotel Akihabara-ekimae,Hotel,"2-13-20, Kanda Sakumacho, Chiyoda-ku, Tokyo, Tokyo, 101-0025, Japan",Kanda Sakumacho,35.698288,139.776467,38
113,APA Hotel Shinagawa Sengakuji-Ekimae,Hotel,"2-16-30, Takanawa, Minato-ku, Tokyo, Tokyo-to, 108-0074, Japan",Minato,35.638024,139.739416,43
114,the square hotel GINZA,Hotel,"2-11-6 Ginza, Tokyo, Tokyo, 104-0061, Japan",Ginza,35.672202,139.76927,101
115,Daiwa Roynet Hotel Ginza,Hotel,"Chuo-ku Ginza 1-13-15, Tokyo, Tokyo, 140-0061, Japan",Chuo,35.673249,139.768895,102
116,Hotel Monterey Hanzomon,Hotel,"23-1 Ichiban-cho, Chiyoda-ku, Tokyo, Tokyo-to, 102-0082, Japan",Chiyoda,35.686721,139.741782,47
117,Shinjuku Prince Hotel,Hotel,"1-30-1 Kabuki-cho, Tokyo, Tokyo-to, 160-8487, Japan",Shinjuku,35.69459,139.70037,98
